flight,date,dep,arr,adb_std,fr24_std,std_flag,adb_sta,fr24_sta,sta_flag,adb_atd,fr24_atd,adb_ata,fr24_ata,adb_reg,fr24_reg,reg_flag,notes
6E2052,2026-03-01,DEL,HYD,,,,,,,,,,,,,,OUT_OF_RANGE
6E849,2026-03-01,HYD,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E6765,2026-03-04,DEL,UDR,,,,,,,,,,,,,,OUT_OF_RANGE
6E6766,2026-03-04,UDR,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E6718,2026-03-08,DEL,MAA,,,,,,,,,,,,,,OUT_OF_RANGE
6E6723,2026-03-08,MAA,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E395,2026-03-09,DEL,BOM,,,,,,,,,,,,,,OUT_OF_RANGE
6E802,2026-03-10,BOM,AMD,,,,,,,,,,,,,,OUT_OF_RANGE
6E803,2026-03-10,AMD,BOM,,,,,,,,,,,,,,OUT_OF_RANGE
6E6028,2026-03-11,BOM,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E6711,2026-03-11,DEL,CCU,,,,,,,,,,,,,,OUT_OF_RANGE
6E6721,2026-03-11,CCU,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E5037,2026-03-19,DEL,JAI,,,,,,,,,,,,,,OUT_OF_RANGE
6E752,2026-03-19,JAI,HYD,,,,,,,,,,,,,,OUT_OF_RANGE
6E6010,2026-03-20,HYD,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E190,2026-03-22,DEL,MAA,,,,,,,,,,,,,,OUT_OF_RANGE
6E6834,2026-03-22,MAA,DEL,,,,,,,,,,,,,,OUT_OF_RANGE
6E6403,2026-03-24,DEL,BLR,,,,,,,,,,,,,,OUT_OF_RANGE
6E7207,2026-03-24,BLR,IXM,,,,,,,,,,,,,,OUT_OF_RANGE
6E7163,2026-03-24,IXM,BLR,,,,,,,,,,,,,,OUT_OF_RANGE
6E6805,2026-03-25,BLR,VNS,,,,,,,,,,,,,,error: ok/HTTP 500
6E6414,2026-03-25,VNS,AMD,,,,,,,,,,,,,,error: ok/HTTP 500
6E5006,2026-03-25,AMD,DEL,,,,,,,,,,,,,,error: ok/HTTP 500
