Date,Flight_No,Dep_Airport,Dep_Time_UTC,Arr_Airport,Arr_Time_UTC,Aircraft_Type,Aircraft_Reg,Block_Time,Operated_As,Home_Base
01/01/26,,DEL,02:55,DED,03:42,320,VTIKS,00:47,,DEL
01/01/26,,DED,04:25,DEL,05:18,320,VTIKS,00:53,,DEL
01/01/26,,DEL,07:16,KNU,08:27,320,VTIJG,01:11,,DEL
01/01/26,,KNU,09:01,DEL,10:20,320,VTIJG,01:19,,DEL
05/01/26,,DEL,01:24,CCU,03:27,321,VTNCK,02:03,,DEL
05/01/26,,CCU,04:16,DEL,06:36,321,VTNCK,02:20,,DEL
06/01/26,,DEL,12:07,UDR,13:24,321,VTICX,01:17,,DEL
06/01/26,,UDR,13:58,DEL,15:11,321,VTICX,01:13,,DEL
06/01/26,,DEL,16:30,STV,18:12,321,VTICX,01:42,,DEL
06/01/26,,STV,18:41,DEL,20:12,321,VTICX,01:31,,DEL
07/01/26,,BOM,21:24,DEL,23:19,321,VTNCJ,01:55,,DEL
11/01/26,,DEL,06:36,HYD,08:45,321,VTICH,02:09,,DEL
11/01/26,,HYD,10:23,TRZ,12:00,320,VTIFQ,01:37,,DEL
12/01/26,,TRZ,23:57,DEL,02:49,320,VTIXN,02:52,,DEL
15/01/26,,DEL,23:02,JAI,23:45,321,VTIMJ,00:43,,DEL
16/01/26,,JAI,00:22,HYD,02:18,321,VTIMJ,01:56,,DEL
17/01/26,,HYD,00:19,DEL,02:21,321,VTNHB,02:02,,DEL
17/01/26,,DEL,04:41,BOM,07:26,321,VTNCD,02:45,,DEL
17/01/26,,BOM,08:31,DEL,10:39,321,VTNCD,02:08,,DEL
19/01/26,,DEL,08:55,RDP,10:49,321,VTIUP,01:54,,DEL
19/01/26,,RDP,11:17,DEL,13:43,321,VTIUP,02:26,,DEL
19/01/26,,DEL,14:48,AMD,16:26,320,VTIIV,01:38,,DEL
19/01/26,,AMD,18:07,BOM,19:53,320,VTISY,01:46,,DEL
23/01/26,,DEL,07:50,IXJ,09:19,321,VTIBH,01:29,,DEL
23/01/26,,IXJ,10:44,DEL,12:31,321,VTIBH,01:47,,DEL
24/01/26,,BLR,11:55,LKO,14:30,320,VTISU,02:35,,DEL
24/01/26,,LKO,15:30,BLR,18:04,320,VTIPF,02:34,,DEL
26/01/26,,DEL,10:51,CCJ,13:48,321,VTIMH,02:57,,DEL
27/01/26,,DEL,12:02,IXC,12:58,321,VTILL,00:56,,DEL
27/01/26,,IXC,13:38,DEL,14:50,321,VTILL,01:12,,DEL
27/01/26,,DEL,15:29,BBI,17:45,321,VTILL,02:16,,DEL
27/01/26,,BBI,18:13,DEL,20:35,321,VTILL,02:22,,DEL
30/01/26,,DEL,07:11,DAC,09:25,321,VTIRV,02:14,,DEL
30/01/26,,DAC,10:24,DEL,13:13,321,VTIRV,02:49,,DEL
31/01/26,,DEL,09:53,CCU,11:56,321,VTNCY,02:03,,DEL
31/01/26,,CCU,12:39,DEL,15:07,321,VTNCY,02:28,,DEL
31/01/26,,DEL,15:54,CCU,18:04,321,VTNCY,02:10,,DEL
